selected,not_selected
20240920_191258.jpg,IMG_0102.HEIC
IMG_0036.HEIC,20240920_144415.jpg
IMG_0101.HEIC,20240920_191313.jpg
20240920_195330.jpg,IMG_0105.HEIC
IMG_0037.heic,20240920_144446.jpg
IMG_0034.HEIC,20240920_144338.jpg
20240920_144331.jpg,IMG_0033.HEIC
IMG_0035.HEIC,20240920_144356.jpg
IMG_0102.HEIC,20240920_191258.jpg
20240920_144415.jpg,IMG_0036.HEIC
20240920_191313.jpg,IMG_0101.HEIC
20240920_195330.jpg,IMG_0105.HEIC
20240920_144446.jpg,IMG_0037.heic
IMG_0034.HEIC,20240920_144338.jpg
20240920_144331.jpg,IMG_0033.HEIC
IMG_0035.HEIC,20240920_144356.jpg
IMG_0102.HEIC,20240920_191258.jpg
